Year,FuelConsumption(L/KM),Kilometres,Doors,Seats,Price,Automatic,Manual,DEMO,NEW,USED,Engine_cyl_num,Engine_total_vol,log_Price,log_Year,log_FuelConsumption(L/KM),log_Kilometres,log_Doors,log_Seats,log_Automatic,log_Manual,log_DEMO,log_NEW,log_USED,log_Engine_cyl_num,log_Engine_total_vol
2018,7.6,91918.0,4,5,24970.0,1,0,0,0,1,4,2.0,10.12543038327382,7.609862200913554,2.028148247292285,11.428652154235449,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2020,4.7,33305.0,5,5,56767.0,1,0,0,0,1,4,2.5,10.946710449956035,7.61085279039525,1.547562508716013,10.41346281484728,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9162907318741551
2012,13.0,178447.0,4,5,33990.0,1,0,0,0,1,8,6.4,10.433821642690162,7.60688453121963,2.5649493574615367,12.092046917345218,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,2.0794415416798357,1.8562979903656263
2016,7.7,104298.0,4,5,24992.0,1,0,0,0,1,4,1.6,10.126311052639412,7.60887062919126,2.0412203288596382,11.555007465349595,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.47000362924573563
2013,14.2,96436.0,4,5,65990.0,1,0,0,0,1,8,6.2,11.097258494377467,7.607381425639791,2.653241964607215,11.476634854869191,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,2.0794415416798357,1.824549292051046
2008,7.1,202495.0,5,5,6499.0,0,1,0,0,1,4,2.0,8.77940359789435,7.60489448081162,1.9600947840472698,12.21847047386587,1.6094379124341003,1.6094379124341003,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2022,7.5,20.0,4,5,40990.0,1,0,0,1,0,4,2.0,10.621083413498383,7.611842399580417,2.0149030205422647,2.995732273553991,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453
2017,7.8,151400.0,4,5,38900.0,1,0,0,0,1,6,3.0,10.568749529606537,7.6093665379542115,2.0541237336955462,11.927680619985486,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.0986122886681098
2014,11.8,133975.0,4,5,37990.0,1,0,0,0,1,8,6.0,10.54507824618167,7.607878073278507,2.468099531471619,11.805408494363052,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,2.0794415416798357,1.791759469228055
2016,6.1,109742.0,4,5,24990.0,1,0,0,0,1,4,2.0,10.126231023828998,7.60887062919126,1.8082887711792655,11.605887435342101,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2015,9.8,105377.0,4,5,29990.0,1,0,0,0,1,4,2.5,10.308619271743055,7.608374474380783,2.2823823856765264,11.565299674957968,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9162907318741551
2022,8.3,1000.0,4,5,49990.0,1,0,0,1,0,4,2.5,10.819578264407616,7.611842399580417,2.1162555148025524,6.907755278982137,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,0.9162907318741551
