Unnamed: 0,Year,FuelConsumption,Kilometres,Doors,Seats,Price,Automatic,Manual,DEMO,NEW,USED,Engine_cyl_num,Engine_total_vol
9134,2017,7.5,215650.0,4,5,9.711115659888671,1,0,0,0,1,4,2.4
9135,2005,12.2,233573.0,4,5,8.987071812848821,1,0,0,0,1,6,4.0
9136,2021,6.9,17400.0,5,5,10.308952660644293,0,1,0,0,1,4,1.6
9138,2020,7.0,111825.0,4,7,10.9507714584818,1,0,0,0,1,4,2.0
9139,2022,6.0,16777.0,5,5,10.401045549301214,1,0,0,0,1,4,2.0
9140,2016,7.9,138550.0,4,5,9.851931065621725,1,0,0,0,1,4,2.0
9141,2017,7.2,85500.0,4,5,10.163926888594034,1,0,0,0,1,4,1.6
9142,2019,8.1,47000.0,4,5,10.702120240942051,1,0,0,0,1,4,2.0
9143,2019,7.9,111499.0,4,5,10.274706221915702,1,0,0,0,1,4,2.5
9145,2020,7.9,50901.0,4,7,11.156107653683586,1,0,0,0,1,4,2.8
9146,2018,7.7,183001.0,4,8,10.20322170601205,1,0,0,0,1,4,2.2
9148,2020,8.1,50518.0,4,5,10.268581953167608,1,0,0,0,1,4,2.5
9149,2017,5.2,89679.0,5,5,10.274706221915702,1,0,0,0,1,4,1.4
9150,2015,7.3,81064.0,5,5,9.846282078765348,0,1,0,0,1,4,2.0
9151,2007,15.2,159770.0,4,5,10.755517058156265,0,1,0,0,1,8,6.0
9152,2021,8.1,24059.0,4,5,10.341419850781794,1,0,0,0,1,4,2.5
9153,2019,7.4,47034.0,4,5,10.144471021978669,1,0,0,0,1,4,2.0
9155,2021,7.7,43830.0,4,5,10.577273508367446,1,0,0,0,1,4,1.4
9156,2020,8.9,46520.0,4,5,11.407453832027993,1,0,0,0,1,4,2.0
9157,2012,8.9,196876.0,4,5,9.615138591096644,1,0,0,0,1,6,3.0
9158,2019,7.4,53381.0,4,5,10.093694603604073,1,0,0,0,1,4,2.0
9159,2013,9.2,185018.0,4,5,10.373178632943564,1,0,0,0,1,5,3.2
9160,2018,7.8,78125.0,4,7,10.461673747661957,1,0,0,0,1,4,2.2
9161,2023,6.6,25.0,5,5,10.542389718243678,1,0,0,1,0,4,2.5
9162,2019,7.4,56902.0,4,5,10.077020603297003,1,0,0,0,1,4,2.0
9163,2018,7.0,38808.0,4,5,10.235880049754966,1,0,0,0,1,4,2.5
9164,2015,6.2,129523.0,4,5,10.53847581892254,1,0,0,0,1,6,3.0
9165,2009,10.6,215000.0,4,8,9.680281499268713,1,0,0,0,1,4,2.4
9166,2015,8.0,141489.0,4,2,10.645186773678239,1,0,0,0,1,4,3.0
9167,2013,9.0,211558.0,4,7,9.2093398716426,1,0,0,0,1,4,2.4
9168,2017,8.8,52963.0,4,7,10.596384701840863,1,0,0,0,1,4,2.5
9169,2011,10.3,108558.0,4,5,9.896966335545862,1,0,0,0,1,6,3.6
9170,2016,4.5,50428.0,4,5,10.403959764222627,1,0,0,0,1,4,2.1
9171,2009,10.5,129000.0,4,5,9.47262771040802,1,0,0,0,1,6,4.0
9172,2015,8.1,144395.0,4,7,9.658992675310882,1,0,0,0,1,4,2.2
9173,2018,6.3,101802.0,4,5,10.274706221915702,1,0,0,0,1,4,1.4
9174,2023,7.1,10.0,4,5,10.114153582339226,1,0,0,1,0,4,1.5
9175,2018,6.5,100000.0,4,5,10.73617926053397,1,0,0,0,1,4,2.0
9176,2009,8.5,182000.0,4,8,9.305559638557117,1,0,0,0,1,4,2.9
9177,2022,6.7,3182.0,4,5,11.32418334037335,1,0,0,0,1,4,2.0
9178,2021,6.6,43969.0,5,5,10.273325483001141,1,0,0,0,1,4,2.0
9179,2014,8.7,357317.0,4,5,10.239924074233857,1,0,0,0,1,4,3.0
9180,2020,5.6,115290.0,5,5,9.902987427494446,0,1,0,0,1,3,1.0
9181,2011,7.4,195020.0,4,5,9.143131622282732,1,0,0,0,1,4,1.8
9183,2002,0.0,244453.0,4,7,9.903437551286085,1,0,0,0,1,4,3.0
9184,2019,6.7,74015.0,4,5,10.373178632943564,1,0,0,0,1,4,1.6
9185,2021,8.5,13495.0,4,5,10.404232536959167,1,0,0,0,1,4,2.8
9186,2015,5.8,99605.0,4,7,10.165467127635536,1,0,0,0,1,4,2.3
9188,2010,8.7,133808.0,5,5,10.126591103050316,1,0,0,0,1,4,2.0
9189,2018,7.9,95816.0,4,5,10.146041497370161,1,0,0,0,1,4,2.0
9190,2013,7.9,97525.0,5,5,9.615138591096644,1,0,0,0,1,4,1.6
9191,2021,8.1,18456.0,4,5,10.371927459805681,1,0,0,0,1,4,2.5
9192,2019,8.4,38750.0,4,7,10.702120240942051,1,0,0,0,1,4,2.5
9193,2021,8.3,54962.0,4,5,10.54507824618167,1,0,0,0,1,4,2.5
9194,2022,6.0,8052.0,5,5,10.877480994538573,1,0,0,0,1,4,2.0
9195,2019,9.3,45095.0,4,7,10.932928382342938,1,0,0,0,1,6,3.5
9196,2017,5.3,64125.0,4,5,10.645186773678239,1,0,0,0,1,4,2.0
9197,2016,5.4,60734.0,5,5,9.90797745780898,1,0,0,0,1,4,1.4
9198,2018,8.0,127676.0,4,7,10.403959764222627,1,0,0,0,1,4,3.0
9199,2017,7.8,132000.0,4,5,10.515641573886542,0,1,0,0,1,4,3.0
9200,2015,6.9,55227.0,4,5,10.223757814581061,1,0,0,0,1,4,1.8
9202,2017,6.6,77342.0,4,5,10.5184028848265,1,0,0,0,1,4,2.0
9203,2013,4.4,124318.0,5,5,9.47231994707559,1,0,0,0,1,4,1.5
9204,2018,5.8,69965.0,5,5,10.042814617757227,1,0,0,0,1,4,1.5
9207,2015,8.1,106500.0,3,4,10.165467127635536,0,1,0,0,1,4,2.0
9209,2019,7.4,59528.0,4,5,10.199435369404942,1,0,0,0,1,4,2.0
9211,2017,7.5,114405.0,2,2,10.163926888594034,1,0,0,0,1,4,3.0
9213,2008,8.0,156258.0,2,2,9.21024036697585,1,0,0,0,1,4,1.6
9214,2013,6.5,104826.0,5,5,9.902987427494446,1,0,0,0,1,4,2.0
9215,2012,9.2,178104.0,4,5,9.47262771040802,0,1,0,0,1,4,2.5
9216,2018,7.8,77085.0,4,5,10.267679175328517,1,0,0,0,1,4,2.5
9217,2019,7.7,80556.0,4,5,10.490996401073076,1,0,0,0,1,4,1.6
9218,2019,8.9,114005.0,4,5,10.797634919724594,1,0,0,0,1,5,3.2
9219,2020,8.1,77663.0,4,7,10.402746539930654,1,0,0,0,1,4,2.5
9220,2023,9.5,17.0,4,5,10.850986211534476,1,0,0,1,0,4,2.0
9221,2012,9.1,175074.0,4,5,9.615138591096644,1,0,0,0,1,4,2.5
9223,2021,6.8,86127.0,4,5,10.54507824618167,1,0,0,0,1,4,1.6
9224,2014,6.6,79197.0,5,5,9.679718805828,1,0,0,0,1,4,2.0
